code,symbol,type,result,pnl,buy_date,sector,max_gain,max_dd,day_max_gain,day_max_dd,breakMA10_day,breakMA10_dd,breakMA20_day,breakMA20_dd,breakMA50_day,breakMA50_dd,failedBO_day,failedBO_dd,lowerHigh_day,lowerHigh_dd,lowerLow_day,lowerLow_dd,volClimax_day,volClimax_dd,climaxTop_day,climaxTop_dd,churning_day,churning_dd,rsDiverg_day,rsDiverg_dd,breakATR_day,breakATR_dd,lateBase_day,lateBase_dd,vni_dist5_day,vni_dist5_dd,vni_dist8_day,vni_dist8_dd,vni_breakMA50_day,vni_breakMA50_dd,sector_weak_day,sector_weak_dd
PVC_2025_12,PVC,btl,win,15.81,2025-12-30,Construction,100.0,-2.61,40.0,1.0,16.0,-2.61,26.0,-2.61,-1.0,,-1.0,,1.0,-2.61,16.0,-2.61,-1.0,,5.0,-2.61,1.0,-2.61,13.0,-2.61,16.0,-2.61,7.0,-2.61,5.0,-2.61,26.0,-2.61,26.0,-2.61,42.0,-2.61
STB_2025_12,STB,btl,lose,-7.07,2025-12-30,Banking,17.0,-14.83,38.0,7.0,3.0,-6.67,6.0,-14.17,-1.0,,-1.0,,1.0,-3.33,4.0,-12.0,4.0,-12.0,-1.0,,1.0,-3.33,2.0,-6.67,4.0,-12.0,28.0,-14.83,5.0,-12.0,26.0,-14.83,26.0,-14.83,1.0,-3.33
G36_2026_01,G36,btl,win,7.02,2026-01-15,Construction,19.83,-16.53,2.0,32.0,6.0,-0.83,16.0,-0.83,31.0,-6.61,-1.0,,3.0,-0.83,7.0,-0.83,27.0,-4.13,-1.0,,-1.0,,4.0,-0.83,5.0,-0.83,-1.0,,1.0,-0.83,16.0,-0.83,16.0,-0.83,-1.0,
DPM_2026_01,DPM,btl,lose,-5.73,2026-01-15,Energy,47.33,-5.97,36.0,7.0,6.0,-1.23,7.0,-5.97,7.0,-5.97,36.0,-5.97,1.0,-1.23,7.0,-5.97,32.0,-5.97,-1.0,,1.0,-1.23,21.0,-5.97,1.0,-1.23,-1.0,,1.0,-1.23,16.0,-5.97,16.0,-5.97,-1.0,
PHR_2026_01,PHR,btl,lose,-5.09,2026-01-16,Misc,5.91,-14.24,28.0,32.0,3.0,-6.82,9.0,-7.42,15.0,-10.91,-1.0,,2.0,-0.76,3.0,-6.82,-1.0,,-1.0,,-1.0,,20.0,-13.33,3.0,-6.82,15.0,-10.91,1.0,-0.76,15.0,-10.91,15.0,-10.91,1.0,-0.76
DGW_2026_01,DGW,btl,lose,-5.53,2026-01-19,Retail,25.46,-13.33,13.0,31.0,5.0,-5.85,25.0,-6.5,29.0,-6.5,-1.0,,2.0,-2.38,5.0,-5.85,-1.0,,-1.0,,-1.0,,24.0,-6.5,3.0,-2.93,5.0,-5.85,2.0,-2.38,14.0,-6.5,14.0,-6.5,28.0,-6.5
NDN_2026_01,NDN,btl,lose,-5.88,2026-01-23,Misc,0.0,-19.49,0.0,27.0,1.0,-5.08,1.0,-5.08,1.0,-5.08,-1.0,,1.0,-5.08,1.0,-5.08,-1.0,,-1.0,,-1.0,,17.0,-8.47,1.0,-5.08,1.0,-5.08,1.0,-5.08,10.0,-7.63,10.0,-7.63,-1.0,
FIT_2026_01,FIT,btl,lose,-5.08,2026-01-23,Misc,3.26,-13.85,1.0,27.0,3.0,-5.3,3.0,-5.3,1.0,-3.46,-1.0,,1.0,-3.46,3.0,-5.3,26.0,-13.24,26.0,-13.24,-1.0,,15.0,-7.33,1.0,-3.46,-1.0,,1.0,-3.46,10.0,-7.13,10.0,-7.13,-1.0,
TTF_2026_01,TTF,btl,lose,-4.75,2026-01-23,Misc,3.28,-16.39,7.0,28.0,1.0,-4.26,1.0,-4.26,1.0,-4.26,-1.0,,1.0,-4.26,1.0,-4.26,-1.0,,-1.0,,-1.0,,16.0,-4.26,3.0,-4.26,-1.0,,1.0,-4.26,10.0,-4.26,10.0,-4.26,-1.0,
VHC_2026_01,VHC,btl,win,0.31,2026-01-30,Misc,8.04,-14.84,2.0,21.0,4.0,-1.85,5.0,-7.26,20.0,-10.66,2.0,-0.93,3.0,-0.93,5.0,-7.26,-1.0,,-1.0,,4.0,-1.85,10.0,-10.05,4.0,-1.85,1.0,-0.93,1.0,-0.93,5.0,-7.26,5.0,-7.26,-1.0,
